DateFull,Year,Month,Day,Artist,Mix,Path,Format
2021-09-11,2021,09,11,Eclair Fifi,Eclair Fifi,2021/2021-09-11 - Essential Mix - Eclair Fifi/2021-09-11 - Essential Mix - Eclair Fifi.mp3,mp3
2021-09-18,2021,09,18,Charlotte de Witte,Charlotte de Witte,2021/2021-09-18 - Essential Mix - Charlotte de Witte/2021-09-18 - Essential Mix - Charlotte de Witte.mp3,mp3
2021-09-25,2021,09,25,Ben UFO,Ben UFO,2021/2021-09-25 - Essential Mix - Ben UFO/2021-09-25 - Essential Mix - Ben UFO.mp3,mp3
2021-10-02,2021,10,02,Themba,Themba,2021/2021-10-02 - Essential Mix - Themba/2021-10-02 - Essential Mix - Themba.mp3,mp3
2021-10-09,2021,10,09,Ben Bohmer,Ben Bohmer,2021/2021-10-09 - Essential Mix - Ben Bohmer/2021-10-09 - Essential Mix - Ben Bohmer.m4a,m4a
2021-10-16,2021,10,16,Cinthie _ Luuk van Dijk,Cinthie _ Luuk van Dijk,2021/2021-10-16 - Essential Mix - Cinthie _ Luuk van Dijk/2021-10-16 - Essential Mix - Cinthie _ Luuk van Dijk.mp3,mp3
2021-10-23,2021,10,23,LSDXOXO,LSDXOXO,2021/2021-10-23 - Essential Mix - LSDXOXO/2021-10-23 - Essential Mix - LSDXOXO.mp3,mp3
2021-10-30,2021,10,30,Overmono,Overmono,2021/2021-10-30 - Essential Mix - Overmono/2021-10-30 - Essential Mix - Overmono.mp3,mp3
2021-11-06,2021,11,06,Ross From Friends,Ross From Friends,2021/2021-11-06 - Essential Mix - Ross From Friends/2021-11-06 - Essential Mix - Ross From Friends.mp3,mp3
2021-11-13,2021,11,13,Elkka,Elkka,2021/2021-11-13 - Essential Mix - Elkka/2021-11-13 - Essential Mix - Elkka.mp3,mp3
2021-11-20,2021,11,20,Sam Paganini,Sam Paganini,2021/2021-11-20 - Essential Mix - Sam Paganini/2021-11-20 - Essential Mix - Sam Paganini.mp3,mp3
2021-11-27,2021,11,27,Culture Shock,Culture Shock,2021/2021-11-27 - Essential Mix - Culture Shock/2021-11-27 - Essential Mix - Culture Shock.mp3,mp3
2021-12-04,2021,12,04,Saoirse,Saoirse,2021/2021-12-04 - Essential Mix - Saoirse/2021-12-04 - Essential Mix - Saoirse.mp3,mp3
2021-12-18,2021,12,18,Alan Fitzpatrick,Alan Fitzpatrick,2021/2021-12-18 - Essential Mix - Alan Fitzpatrick/2021-12-18 - Essential Mix - Alan Fitzpatrick.mp3,mp3
2022-01-08,2022,01,08,Innellea,Innellea,2022/2022-01-08 - Essential Mix - Innellea/2022-01-08 - Essential Mix - Innellea.m4a,m4a
2022-01-15,2022,01,15,Tim Reaper,Tim Reaper,2022/2022-01-15 - Essential Mix - Tim Reaper/2022-01-15 - Essential Mix - Tim Reaper.m4a,m4a
